date,temp
01 01 2000,2.95
01 02 2000,4.184
01 03 2000,6.219
01 04 2000,9.552
01 05 2000,11.874
01 06 2000,14.06
01 07 2000,14.848
01 08 2000,14.519
01 09 2000,12.547
01 10 2000,9.486
01 11 2000,6.312
01 12 2000,3.863
01 01 2001,3.336
01 02 2001,3.72
01 03 2001,6.208
01 04 2001,9.245
01 05 2001,12.271
01 06 2001,14.11
01 07 2001,15.161
01 08 2001,14.427
01 09 2001,12.736
01 10 2001,9.935
01 11 2001,7.319
01 12 2001,4.507
01 01 2002,4.026
01 02 2002,4.704
01 03 2002,6.772
01 04 2002,9.229
01 05 2002,12.248
01 06 2002,14.084
01 07 2002,15.354
01 08 2002,14.56
01 09 2002,12.95
01 10 2002,9.988
01 11 2002,6.892
01 12 2002,4.038
01 01 2003,3.981
01 02 2003,4.085
01 03 2003,6.048
01 04 2003,9.154
01 05 2003,12.153
01 06 2003,14.017
01 07 2003,14.983
01 08 2003,14.691
01 09 2003,12.911
01 10 2003,10.424
01 11 2003,6.727
01 12 2003,5.133
01 01 2004,3.525
01 02 2004,4.499
01 03 2004,6.321
01 04 2004,9.249
01 05 2004,11.571
01 06 2004,13.889
01 07 2004,14.312
01 08 2004,14.188
01 09 2004,12.642
01 10 2004,10.127
01 11 2004,7.315
01 12 2004,4.257
01 01 2005,3.808
01 02 2005,3.92
01 03 2005,6.544
01 04 2005,9.618
01 05 2005,12.226
01 06 2005,14.476
01 07 2005,15.19
01 08 2005,14.51
01 09 2005,13.217
01 10 2005,10.601
01 11 2005,7.423
01 12 2005,4.878
01 01 2006,3.286
01 02 2006,4.43
01 03 2006,6.329
01 04 2006,9.055
01 05 2006,11.786
01 06 2006,14.443
01 07 2006,15.042
01 08 2006,14.913
01 09 2006,12.875
01 10 2006,10.289
01 11 2006,6.955
01 12 2006,4.987
01 01 2007,4.579
01 02 2007,4.221
01 03 2007,6.485
01 04 2007,9.823
01 05 2007,12.518
01 06 2007,14.309
01 07 2007,15.23
01 08 2007,14.752
01 09 2007,12.93
01 10 2007,10.332
01 11 2007,7.084
01 12 2007,4.523
01 01 2008,2.844
01 02 2008,3.576
01 03 2008,6.906
01 04 2008,9.295
01 05 2008,12.054
01 06 2008,14.145
01 07 2008,15.174
01 08 2008,14.377
01 09 2008,12.802
01 10 2008,10.399
01 11 2008,7.224
01 12 2008,4.385
01 01 2009,3.687
01 02 2009,4.094
01 03 2009,6.086
01 04 2009,9.367
01 05 2009,12.112
01 06 2009,14.201
01 07 2009,15.231
01 08 2009,14.655
01 09 2009,13.153
01 10 2009,10.136
01 11 2009,7.031
01 12 2009,4.31
01 01 2010,3.737
01 02 2010,4.399
01 03 2010,6.738
01 04 2010,9.671
01 05 2010,12.406
01 06 2010,14.421
01 07 2010,15.213
01 08 2010,14.768
01 09 2010,12.863
01 10 2010,10.442
01 11 2010,7.487
01 12 2010,4.292
01 01 2011,3.282
01 02 2011,3.743
01 03 2011,6.101
01 04 2011,9.483
01 05 2011,11.986
01 06 2011,14.37
01 07 2011,15.482
01 08 2011,15.012
01 09 2011,12.912
01 10 2011,10.352
01 11 2011,6.814
01 12 2011,4.655
01 01 2012,3.157
01 02 2012,3.628
01 03 2012,6.023
01 04 2012,9.676
01 05 2012,12.59
01 06 2012,14.492
01 07 2012,15.076
01 08 2012,14.72
01 09 2012,13.04
01 10 2012,10.428
01 11 2012,7.156
01 12 2012,4.102
01 01 2013,3.685
01 02 2013,4.222
01 03 2013,6.261
01 04 2013,9.044
01 05 2013,12.195
01 06 2013,14.568
01 07 2013,15.003
01 08 2013,14.742
01 09 2013,13.154
01 10 2013,10.256
01 11 2013,7.424
01 12 2013,4.724
01 01 2014,3.732
01 02 2014,3.5
01 03 2014,6.378
01 04 2014,9.589
01 05 2014,12.582
01 06 2014,14.335
01 07 2014,14.873
01 08 2014,14.875
01 09 2014,13.091
01 10 2014,10.33
01 11 2014,6.713
01 12 2014,4.85
01 01 2015,3.881
01 02 2015,4.664
01 03 2015,6.74
01 04 2015,9.313
01 05 2015,12.312
01 06 2015,14.505
01 07 2015,15.051
01 08 2015,14.755
01 09 2015,12.999
01 10 2015,10.801
01 11 2015,7.433
01 12 2015,5.518
