
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"26.648"	"29.02"	"34.304"	"39.082"	"41.398"	"38.836"	"31.683"	"30.109"	"31.331"	"32.185"	"28.712"	"26.243"
"1902"	"27.812"	"29.994"	"36.55"	"39.565"	"42.384"	"39.073"	"31.687"	"31.391"	"31.35"	"31.757"	"28.471"	"26.239"
"1903"	"27.579"	"28.52"	"34.931"	"39.889"	"41.097"	"37.873"	"31.653"	"30.93"	"31.346"	"30.907"	"27.559"	"25.432"
"1904"	"27.128"	"29.244"	"34.919"	"40.523"	"41.276"	"35.993"	"30.928"	"30.213"	"31.043"	"31.507"	"28.177"	"26.974"
"1905"	"26.579"	"27.273"	"34.135"	"37.259"	"41.435"	"40.05"	"31.233"	"31"	"30.878"	"31.166"	"28.911"	"26.161"
"1906"	"26.852"	"29.784"	"33.807"	"40.249"	"42.914"	"37.036"	"31.242"	"30.728"	"31.259"	"31.395"	"28.992"	"27.089"
"1907"	"27.097"	"29.459"	"33.826"	"36.727"	"40.449"	"36.9"	"32.076"	"29.618"	"31.662"	"32.087"	"29.382"	"25.61"
"1908"	"25.274"	"29.924"	"34.235"	"40.64"	"42.383"	"38.092"	"30.957"	"29.89"	"31.556"	"31.257"	"27.911"	"25.012"
"1909"	"28.209"	"29.725"	"35.2"	"36.726"	"41.34"	"35.418"	"30.433"	"30.79"	"31.051"	"30.535"	"28.305"	"26.974"
"1910"	"26.428"	"29.013"	"34.919"	"39.822"	"41.758"	"35.985"	"31.341"	"30.429"	"31.326"	"31.353"	"27.381"	"25.243"
"1911"	"28.1"	"28.712"	"34.026"	"39.164"	"42.421"	"35.277"	"32.205"	"29.68"	"31.079"	"31.429"	"29.254"	"25.679"
"1912"	"26.742"	"30.363"	"35.305"	"38.76"	"41.841"	"39.289"	"31.309"	"30.229"	"31.171"	"31.499"	"28.312"	"25.367"
"1913"	"26.02"	"30.08"	"33.888"	"40.068"	"40.639"	"34.824"	"31.053"	"30.129"	"31.302"	"31.194"	"27.987"	"26.386"
"1914"	"26.573"	"30.624"	"34.57"	"37.353"	"40.302"	"36.362"	"31.038"	"30.613"	"31.105"	"30.969"	"29.368"	"26.574"
"1915"	"26.854"	"29.529"	"34.104"	"39.018"	"42.414"	"38.577"	"32.144"	"30.926"	"31.349"	"32.438"	"30.493"	"26.139"
"1916"	"25.914"	"29.913"	"35.3"	"40.183"	"41.587"	"34.448"	"31.516"	"30.429"	"31.345"	"32.008"	"29.269"	"25.024"
"1917"	"26.4"	"28.951"	"33.661"	"37.589"	"38.473"	"34.787"	"30.675"	"30.269"	"30.873"	"31.429"	"27.969"	"25.95"
"1918"	"25.664"	"29.287"	"34.579"	"38.257"	"40.359"	"33.794"	"32.16"	"29.763"	"31.323"	"30.718"	"29.151"	"26.501"
"1919"	"28.831"	"29.498"	"34.808"	"38.303"	"40.199"	"35.288"	"30.814"	"29.971"	"31.261"	"30.958"	"29.215"	"25.974"
"1920"	"26.692"	"29.705"	"35.2"	"38.761"	"39.81"	"38.063"	"30.744"	"30.417"	"31.712"	"32.036"	"28.867"	"25.928"
"1921"	"27.516"	"29.207"	"36.398"	"40.109"	"44.303"	"36.754"	"31.675"	"29.987"	"30.807"	"30.733"	"26.737"	"26.646"
"1922"	"26.717"	"29.781"	"35.468"	"39.518"	"42.299"	"35.625"	"30.249"	"30.102"	"30.562"	"30.273"	"28.382"	"25.065"
"1923"	"26.459"	"29.224"	"33.803"	"39.214"	"42.172"	"39.985"	"30.845"	"29.745"	"31.345"	"30.367"	"28.253"	"26.745"
"1924"	"27.013"	"30.32"	"35.991"	"40.056"	"41.141"	"39.296"	"30.999"	"30.641"	"30.992"	"31.027"	"28.237"	"26.008"
"1925"	"25.845"	"28.744"	"34.352"	"39.63"	"39.813"	"35.541"	"29.845"	"30.257"	"31.646"	"31.522"	"29.211"	"25.955"
"1926"	"27.265"	"30.424"	"34.527"	"36.95"	"39.656"	"39.985"	"31.675"	"30.229"	"31.062"	"30.715"	"27.181"	"26.044"
"1927"	"28.048"	"30.25"	"34.125"	"39.423"	"41.33"	"37.55"	"30.891"	"29.975"	"31.693"	"31.13"	"27.953"	"26.745"
