
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"24.51"	"48.557"	"21.704"	"30.792"	"18.899"	"117.74"	"212.037"	"310.064"	"191.963"	"13.68"	"10.446"	"0"
"1902"	"10.504"	"1.484"	"0.596"	"4.489"	"8.67"	"83.446"	"304.485"	"311.289"	"244.242"	"10.642"	"2.756"	"16.52"
"1903"	"4.99"	"11.069"	"2.34"	"1.57"	"45.637"	"150.458"	"534.24"	"299.47"	"175.039"	"70.167"	"1.397"	"0.498"
"1904"	"0.66"	"4.476"	"40.198"	"0.115"	"73.916"	"211.049"	"265.543"	"559.07"	"151.348"	"42.631"	"0.39"	"2.818"
"1905"	"6.282"	"14.171"	"35.304"	"40.26"	"26.743"	"112.504"	"332.093"	"432.718"	"473.573"	"3.627"	"0"	"0.846"
"1906"	"3.697"	"36.342"	"27.158"	"0.115"	"11.103"	"310.951"	"497.011"	"355.16"	"178.342"	"31.221"	"2.481"	"2.853"
"1907"	"0.293"	"39.142"	"27.33"	"74.524"	"11.147"	"324.326"	"206.835"	"432.702"	"113.5"	"2.954"	"3.648"	"9.989"
"1908"	"15.708"	"16.88"	"11.759"	"2.753"	"10.948"	"279.457"	"314.952"	"457.509"	"184.294"	"40.088"	"0"	"1.039"
"1909"	"2.105"	"10.094"	"0.619"	"54.153"	"28.053"	"219.066"	"488.029"	"265.495"	"143.037"	"3.041"	"0"	"6.834"
"1910"	"4.811"	"2.484"	"13.667"	"9.642"	"10.598"	"203.857"	"371.748"	"375.734"	"267.37"	"85.877"	"18.196"	"0"
"1911"	"4.301"	"0.28"	"30.924"	"0.838"	"13.181"	"388.758"	"211.779"	"401.251"	"275.736"	"74.406"	"23.206"	"0.199"
"1912"	"0.303"	"38.556"	"2.082"	"14.854"	"18.153"	"42.679"	"433.065"	"403.141"	"188.467"	"12.67"	"10.884"	"0.531"
"1913"	"0"	"44.223"	"30.849"	"5.052"	"28.65"	"243.985"	"334.458"	"397.972"	"184.148"	"45.264"	"1.588"	"8.622"
"1914"	"1.46"	"9.55"	"32.474"	"39.623"	"25.39"	"204.394"	"320.585"	"394.517"	"239.957"	"9.17"	"0"	"9.117"
"1915"	"29.587"	"42.387"	"33.723"	"10.325"	"20.363"	"116.615"	"296.627"	"371.298"	"230.879"	"56.964"	"14.071"	"0.255"
"1916"	"0"	"12.938"	"0.199"	"6.027"	"15.011"	"191.598"	"314.093"	"408.217"	"200.432"	"63.41"	"4.266"	"0"
"1917"	"1.12"	"44.129"	"6.089"	"8.589"	"54.825"	"209.248"	"352.444"	"408.672"	"318.187"	"162.042"	"0.369"	"0.398"
"1918"	"19.199"	"1.764"	"10.664"	"5.066"	"38.688"	"331.011"	"221.405"	"506.555"	"160.7"	"4.216"	"1.408"	"6.403"
"1919"	"53.41"	"41.425"	"37.564"	"9.055"	"29.597"	"270.849"	"376.728"	"538.129"	"181.927"	"97.464"	"13.701"	"4.055"
"1920"	"4.931"	"8.283"	"34.651"	"7.821"	"11.484"	"89.803"	"506.588"	"381.242"	"98.4"	"10.983"	"0"	"0"
"1921"	"29.833"	"6.947"	"0.199"	"5.001"	"0.199"	"280.375"	"355.449"	"436.242"	"201.945"	"13.324"	"0"	"0"
"1922"	"8.424"	"0.238"	"0.199"	"5.395"	"8.925"	"259.772"	"465.082"	"340.792"	"298.304"	"45.295"	"16.773"	"0.398"
"1923"	"0.083"	"34.797"	"12.637"	"12.24"	"3.367"	"92.305"	"383.165"	"451.995"	"215.813"	"22.846"	"4.843"	"0"
"1924"	"29.972"	"11.164"	"6.453"	"16.435"	"10.387"	"76.998"	"344.336"	"331.779"	"271.987"	"56.547"	"13.317"	"1.719"
"1925"	"0"	"2.001"	"4.228"	"5.391"	"59.865"	"206.175"	"443.755"	"625.972"	"141.434"	"13.797"	"9.063"	"0"
"1926"	"6.06"	"1.163"	"66.362"	"22.882"	"50.683"	"115.961"	"390.725"	"624.614"	"310.418"	"57.076"	"2.435"	"6.501"
