
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"19.479"	"21.81"	"26.774"	"31.55"	"34.298"	"33.487"	"28.171"	"26.909"	"27.524"	"26.935"	"22.108"	"19.073"
"1902"	"20.643"	"22.782"	"29.019"	"32.033"	"35.297"	"33.724"	"28.175"	"28.19"	"27.544"	"26.509"	"21.866"	"19.069"
"1903"	"20.409"	"21.31"	"27.4"	"32.359"	"33.994"	"32.524"	"28.14"	"27.729"	"27.539"	"25.657"	"20.954"	"18.263"
"1904"	"19.959"	"22.032"	"27.389"	"32.992"	"34.175"	"30.601"	"27.415"	"27.012"	"27.234"	"26.257"	"21.574"	"19.805"
"1905"	"19.409"	"20.06"	"26.604"	"29.728"	"34.351"	"34.7"	"27.72"	"27.8"	"27.07"	"25.917"	"22.308"	"18.992"
"1906"	"19.682"	"22.571"	"26.276"	"32.72"	"35.815"	"31.686"	"27.73"	"27.528"	"27.451"	"26.146"	"22.387"	"19.921"
"1907"	"19.927"	"22.248"	"26.296"	"29.197"	"33.361"	"31.508"	"28.564"	"26.417"	"27.855"	"26.849"	"22.778"	"18.455"
"1908"	"18.139"	"22.713"	"26.704"	"33.13"	"35.282"	"32.699"	"27.444"	"26.689"	"27.749"	"26.009"	"21.308"	"17.884"
"1909"	"21.04"	"22.513"	"27.671"	"29.197"	"34.255"	"30.032"	"26.933"	"27.59"	"27.243"	"25.284"	"21.701"	"19.805"
"1910"	"19.258"	"21.802"	"27.389"	"32.292"	"34.656"	"30.636"	"27.83"	"27.229"	"27.519"	"26.105"	"20.778"	"18.072"
"1911"	"20.931"	"21.5"	"26.497"	"31.634"	"35.332"	"29.886"	"28.694"	"26.476"	"27.271"	"26.18"	"22.651"	"18.507"
"1912"	"19.573"	"23.152"	"27.776"	"31.229"	"34.756"	"33.896"	"27.798"	"27.028"	"27.362"	"26.25"	"21.707"	"18.197"
"1913"	"18.849"	"22.866"	"26.359"	"32.538"	"33.538"	"29.432"	"27.54"	"26.928"	"27.496"	"25.946"	"21.383"	"19.216"
"1914"	"19.403"	"23.413"	"27.039"	"29.823"	"33.202"	"30.97"	"27.525"	"27.414"	"27.296"	"25.719"	"22.765"	"19.404"
"1915"	"19.685"	"22.317"	"26.574"	"31.488"	"35.328"	"33.227"	"28.633"	"27.726"	"27.543"	"27.188"	"23.888"	"18.969"
"1916"	"18.743"	"22.701"	"27.77"	"32.653"	"34.528"	"29.056"	"28.003"	"27.229"	"27.539"	"26.757"	"22.666"	"17.896"
"1917"	"19.23"	"21.739"	"26.13"	"30.058"	"31.372"	"29.404"	"27.164"	"27.067"	"27.065"	"26.18"	"21.364"	"18.779"
"1918"	"18.501"	"22.077"	"27.048"	"30.726"	"33.259"	"28.408"	"28.648"	"26.563"	"27.516"	"25.47"	"22.548"	"19.332"
"1919"	"21.662"	"22.286"	"27.277"	"30.772"	"33.098"	"29.903"	"27.303"	"26.771"	"27.454"	"25.71"	"22.611"	"18.803"
"1920"	"19.522"	"22.494"	"27.671"	"31.23"	"32.727"	"32.711"	"27.233"	"27.217"	"27.904"	"26.799"	"22.264"	"18.757"
"1921"	"20.346"	"21.997"	"28.868"	"32.587"	"37.219"	"31.364"	"28.164"	"26.786"	"26.999"	"25.484"	"20.133"	"19.477"
"1922"	"19.547"	"22.569"	"27.938"	"31.987"	"35.199"	"30.233"	"26.736"	"26.902"	"26.753"	"25.023"	"21.777"	"17.938"
"1923"	"19.288"	"22.012"	"26.272"	"31.692"	"35.071"	"34.593"	"27.334"	"26.544"	"27.539"	"25.118"	"21.649"	"19.576"
"1924"	"19.843"	"23.109"	"28.461"	"32.526"	"34.04"	"33.903"	"27.487"	"27.441"	"27.184"	"25.776"	"21.633"	"18.838"
"1925"	"18.697"	"21.531"	"26.822"	"32.13"	"32.713"	"30.19"	"26.333"	"27.055"	"27.839"	"26.272"	"22.608"	"18.784"
"1926"	"20.095"	"23.214"	"26.997"	"29.42"	"32.572"	"34.593"	"28.164"	"27.028"	"27.254"	"25.466"	"20.577"	"18.874"
"1927"	"20.878"	"23.038"	"26.595"	"31.901"	"34.228"	"32.2"	"27.379"	"26.774"	"27.885"	"25.881"	"21.35"	"19.576"
"1928"	"20.156"	"22.359"	"27.45"	"31.011"	"34.886"	"30.948"	"27.233"	"27.732"	"27.884"	"26.946"	"22.018"	"19.692"
"1929"	"20.149"	"21.101"	"27.346"	"30.79"	"35.19"	"31.266"	"26.963"	"26.531"	"27.851"	"25.384"	"21.271"	"19.367"
"1930"	"19.373"	"21.301"	"27.449"	"30.792"	"33.88"	"31.92"	"27.116"	"26.948"	"27.539"	"26.679"	"21.468"	"19.15"
"1931"	"20.25"	"23.121"	"26.908"	"32.155"	"35.102"	"33.161"	"27.613"	"27.217"	"27.958"	"26.262"	"21.837"	"19.134"
"1932"	"20.026"	"21.423"	"27.235"	"31.333"	"34.067"	"33.028"	"27.344"	"27.426"	"27.614"	"26.848"	"22.608"	"19.053"
"1933"	"19.554"	"23.509"	"27.45"	"30.232"	"31.938"	"29.546"	"27.633"	"27.04"	"27.342"	"25.947"	"21.807"	"19.304"
"1934"	"19.027"	"22.104"	"27.219"	"31.775"	"35.076"	"31.689"	"27.433"	"27.028"	"27.288"	"25.246"	"21.242"	"19.242"
"1935"	"19.308"	"22.792"	"27.276"	"29.679"	"35.368"	"33.113"	"27.244"	"26.927"	"27.234"	"26.111"	"21.77"	"20.153"
"1936"	"20.669"	"21.992"	"27.735"	"31.062"	"34.39"	"28.932"	"27.453"	"26.87"	"27.411"	"25.535"	"23.165"	"19.805"
"1937"	"18.309"	"23.091"	"26.354"	"30.389"	"34.093"	"32.289"	"27.28"	"27.028"	"27.455"	"25.658"	"22.13"	"18.592"
